Timestamp,Do you agree on sharing with us some information that we will use later on to contact you?,Full Name,Age,Gender,Whatsapp number,E-Mail,Where do you study?,What's you class & specialty?,How much are you willing to spend for going abroad?,Have you ever heard of AIESEC before?,What type of internship are you interested in?
3/8/2023 11:03:36,Yes,Amiah Cohen,21,Male,73872731,exampleemail17@gmail.com,École supérieure des sciences et technologies du design,2PG2,< 2000DT,Yes,Global Talent
3/8/2023 11:06:29,Yes,Myles Wagner,23,Male,36550869,exampleemail18@gmail.com,École supérieure des sciences et technologies du design,2 Graphic Design,< 2000DT,Yes,Global Talent
3/8/2023 11:19:02,Yes,Siena Mack,21,Female,59143815,exampleemail19@gmail.com,École supérieure des sciences et technologies du design,1er année  Design image ,< 2000DT,Yes,Global Volunteer
3/8/2023 11:30:13,Yes,Maximillian Sandoval,20,Female,91784538,exampleemail20@gmail.com,École supérieure des sciences et technologies du design,1 ere design espace,< 2000DT,No,Global Volunteer
3/8/2023 11:30:47,Yes,Mathew Patton,23,Female,84484765,exampleemail21@gmail.com,École supérieure des sciences et technologies du design, 2 Graphic designer,< 2000DT,No,Global Volunteer
3/8/2023 12:00:33,Yes,Lilia Donaldson,21,Female,42033514,exampleemail22@gmail.com,École supérieure des sciences et technologies du design,2eme anne publicité graphique ,< 2000DT,No,Global Volunteer
3/8/2023 12:09:05,Yes,Damian Harding,27,Male,99722306,exampleemail23@gmail.com,École supérieure des sciences et technologies du design,Master pro image M1,2000DT - 3000DT,Yes,Global Talent
3/8/2023 12:09:50,Yes,Conor Shaw,21,Female,46920717,exampleemail24@gmail.com,École supérieure des sciences et technologies du design,Graphic design ,< 2000DT,No,Global Volunteer
3/8/2023 12:35:11,Yes,Cali Ford,21,Male,35087343,exampleemail25@gmail.com,École supérieure des sciences et technologies du design,2 eme publicité audiovisuel ,2000DT - 3000DT,No,Global Talent
3/8/2023 13:02:12,Yes,Rishi Flores,19,Female,57641860,exampleemail26@gmail.com,École supérieure des sciences et technologies du design,1st grade interior design ,< 2000DT,No,Global Talent
3/8/2023 13:05:25,Yes,Kaylee Yates,19,Female,86641418,exampleemail27@gmail.com,École supérieure des sciences et technologies du design,First grade interior design,< 2000DT,No,Global Talent
3/8/2023 13:17:27,Yes,Cristina Fox,19,Female,50044055,exampleemail28@gmail.com,École supérieure des sciences et technologies du design,1 ere produit,< 2000DT,No,Global Volunteer
3/8/2023 13:20:19,Yes,Noe Hendricks,21,Female,12770115,exampleemail29@gmail.com,École supérieure des sciences et technologies du design,1ere produit,< 2000DT,No,Global Volunteer
3/8/2023 13:21:58,Yes,Giselle Benjamin,22,Female,60775855,exampleemail30@gmail.com,École supérieure des sciences et technologies du design,Master 1 spécialité architecture d'intérieur ,2000DT - 3000DT,Yes,Global Talent
3/8/2023 13:22:03,Yes,Stephen Duke,22,Female,23216653,exampleemail31@gmail.com,École supérieure des sciences et technologies du design,Master professional produit,2000DT - 3000DT,Yes,Global Talent
3/8/2023 13:22:53,Yes,Frida Zimmerman,19,Female,97714635,exampleemail32@gmail.com,École supérieure des sciences et technologies du design,1 th L product design,2000DT - 3000DT,Yes,Global Talent
3/8/2023 13:23:04,Yes,Azul Mays,23,Female,19467341,exampleemail33@gmail.com,École supérieure des sciences et technologies du design,Design produit,3000DT - 5000DT,No,Global Talent
3/8/2023 13:24:27,Yes,Kennedi Bray,24,Female,42840052,exampleemail34@gmail.com,École supérieure des sciences et technologies du design,1ere année master en design espace,2000DT - 3000DT,Yes,Global Volunteer
3/8/2023 13:24:45,Yes,Carolina Pierce,21,Female,31099168,exampleemail35@gmail.com,École supérieure des sciences et technologies du design,1er design produit,2000DT - 3000DT,Yes,Global Talent
3/8/2023 13:32:46,Yes,Joanna Stephens,20,Female,48806291,exampleemail36@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",Geopolitics and international relations ,< 2000DT,Yes,Global Teacher
3/8/2023 13:36:28,Yes,Reese Heath,22,Male,61538373,exampleemail37@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",Geopolitics international relations,< 2000DT,Yes,Global Volunteer
3/8/2023 13:56:16,Yes,Chase Riddle,22,Female,55579162,exampleemail38@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",L2 Géopolitique et Relations internationales ,2000DT - 3000DT,Yes,Global Volunteer
3/8/2023 13:59:48,Yes,Brett Lucero,22,Female,33919190,exampleemail39@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",3ème année géopolitique et relations internationales ,< 2000DT,Yes,Global Teacher
3/8/2023 14:00:03,Yes,Katherine Baker,22,Male,98586500,exampleemail40@gmail.com,École supérieure des sciences et technologies du design,Architecte d'intérieur ,2000DT - 3000DT,Yes,Global Talent
3/8/2023 14:04:15,Yes,Zayne Blackburn,22,Male,12016016,exampleemail41@gmail.com,Institut Supérieur de Comptabilité et d Administration des Entreprises,Accounting master cca ,< 2000DT,Yes,Global Talent
3/8/2023 15:37:35,Yes,Cynthia Gordon,22,Female,27352094,exampleemail42@gmail.com,École supérieure des sciences et technologies du design,Design image,< 2000DT,Yes,Global Talent
3/8/2023 15:40:14,Yes,Reuben Dennis,22,Male,36974563,exampleemail43@gmail.com,École supérieure des sciences et technologies du design,Graphic design ,2000DT - 3000DT,Yes,Global Talent
3/8/2023 15:42:19,Yes,Janiah Bautista,21,Male,43046770,exampleemail44@gmail.com,École supérieure des sciences et technologies du design,Graphic design,< 2000DT,Yes,Global Talent
3/9/2023 11:41:22,Yes,Karina Aguilar,19,Male,10492579,exampleemail45@gmail.com,Ecole Supérieure de I Economie Numérique,1ere licence ,< 2000DT,Yes,Global Talent
3/9/2023 11:47:34,Yes,Nasir Blackwell,27,Male,33828428,exampleemail46@gmail.com,Ecole Supérieure de I Economie Numérique,2 grade business intelligence ,< 2000DT,Yes,Global Talent
3/9/2023 11:52:31,Yes,Marcelo Carroll,21,Female,42685158,exampleemail47@gmail.com,Ecole Supérieure de I Economie Numérique,2 ème année business intelligence ,3000DT - 5000DT,Yes,Global Talent
3/9/2023 12:03:56,Yes,Wilson Kaiser,22,Female,39320046,exampleemail48@gmail.com,Ecole Supérieure de I Economie Numérique,2 ème année licence e-business ,2000DT - 3000DT,Yes,Global Talent
3/9/2023 12:26:27,Yes,Jazmine Potter,20,Male,34880976,exampleemail49@gmail.com,Ecole Supérieure de I Economie Numérique,L2 business information systems,< 2000DT,Yes,Global Volunteer
3/9/2023 12:28:39,Yes,Jessica Vincent,20,Female,55686946,exampleemail50@gmail.com,Ecole Supérieure de I Economie Numérique,L2 Business information System,< 2000DT,Yes,Global Volunteer
3/9/2023 13:20:16,Yes,Monserrat Mckee,24,Male,16582787,exampleemail51@gmail.com,Ecole Supérieure de I Economie Numérique,L3,< 2000DT,Yes,Global Talent
3/9/2023 14:09:33,Yes,Damian Higgins,22,Male,53148565,exampleemail52@gmail.com,Ecole Supérieure de I Economie Numérique,L2 Business Intelligence ,< 2000DT,Yes,Global Volunteer
3/9/2023 14:13:33,Yes,Clara Yu,20,Male,22618308,exampleemail53@gmail.com,Ecole Supérieure de I Economie Numérique,1er business Computing ,< 2000DT,Yes,Global Talent
3/9/2023 14:18:10,Yes,Emilie Owen,25,Female,60554115,exampleemail54@gmail.com,Ecole Supérieure de I Economie Numérique,2eme annee licence E-Business,2000DT - 3000DT,Yes,Global Volunteer
3/10/2023 10:15:16,Yes,Esperanza Bryant,20,Male,42717507,exampleemail55@gmail.com,Institut Supérieur des Arts Multimédia de la Manouba,1er Computer science & Multimedia ,< 2000DT,Yes,Global Talent
3/10/2023 10:22:42,Yes,Zavier Atkinson,21,Female,11055050,exampleemail56@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",English student,< 2000DT,Yes,Global Volunteer
3/10/2023 10:30:25,Yes,Vance Myers,21,Female,86271969,exampleemail57@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",2end year licence in english  ,< 2000DT,Yes,Global Volunteer
3/10/2023 10:45:49,Yes,Valerie Mccarthy,22,Female,27641041,exampleemail58@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",1er année allemand,< 2000DT,No,Global Volunteer
3/10/2023 10:49:09,Yes,Patrick Hutchinson,19,Female,50535059,exampleemail59@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",Geomatique,< 2000DT,No,Global Volunteer
3/10/2023 11:03:52,Yes,Ryder Kelley,30,Male,23122088,exampleemail60@gmail.com,École Nationale des Sciences de I Informatique,1ere,< 2000DT,Yes,Global Talent
3/10/2023 11:25:56,Yes,Alexandria Carlson,20,Female,79963365,exampleemail61@gmail.com,Institut Supérieur des Arts Multimédia de la Manouba,1ere Im,< 2000DT,Yes,Global Talent
3/10/2023 11:28:05,Yes,Alaina Jimenez,20,Female,61320684,exampleemail62@gmail.com,Institut Supérieur des Arts Multimédia de la Manouba,1ere IM,< 2000DT,Yes,Global Talent
3/10/2023 11:28:36,Yes,Zayne Moses,20,Female,47516557,exampleemail63@gmail.com,Institut Supérieur des Arts Multimédia de la Manouba,1er IM,< 2000DT,Yes,Global Talent
3/10/2023 12:57:16,Yes,Deandre Cain,19,Female,82099002,exampleemail64@gmail.com,Institut Supérieur des Arts Multimédia de la Manouba,1 sc informatique,3000DT - 5000DT,Yes,Global Volunteer
3/10/2023 12:58:22,Yes,Jewel Gross,23,Female,18541912,exampleemail65@gmail.com,École Nationale des Sciences de I Informatique,1st year,< 2000DT,Yes,Global Talent
3/10/2023 13:02:22,Yes,Sergio Conrad,19,Female,44232775,exampleemail66@gmail.com,Institut Supérieur des Arts Multimédia de la Manouba,communication multimedia,< 2000DT,Yes,Global Talent
3/10/2023 19:55:12,Yes,Camryn Glover,19,Female,73170277,exampleemail67@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",Third year / An english major ,< 2000DT,Yes,Global Teacher
3/11/2023 8:24:21,Yes,Jessie Lynch,24,Female,25932451,exampleemail68@gmail.com,Ecole Supérieure de Commerce de Tunis - Université de La Manouba,2eme année master edair,2000DT - 3000DT,Yes,Global Volunteer
3/11/2023 19:57:23,Yes,Jayla Green,24,Female,71022100,exampleemail69@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",2éme histoire archéologie et patrimoine ,< 2000DT,No,Global Volunteer
3/13/2023 10:43:56,Yes,Yahir Jefferson,24,Male,51412126,exampleemail70@gmail.com,Ecole Supérieure de I Economie Numérique,1 ere bussiness inteligence ,2000DT - 3000DT,Yes,Global Volunteer
3/14/2023 10:04:18,Yes,Alissa Bailey,22,Male,40326833,exampleemail71@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",Geomatic,2000DT - 3000DT,Yes,Global Teacher
3/14/2023 10:08:32,Yes,Arianna Mccarthy,24,Female,33756476,exampleemail72@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",2nd year English literature ,2000DT - 3000DT,Yes,Global Teacher
3/14/2023 10:10:25,Yes,Baylee Mathis,24,Female,43438929,exampleemail73@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",English ,< 2000DT,No,Global Teacher
3/14/2023 10:20:13,Yes,Ireland Diaz,19,Female,54406665,exampleemail74@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",Français ,2000DT - 3000DT,No,Global Volunteer
3/14/2023 10:21:25,Yes,Grant Haley,23,Female,99112761,exampleemail75@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",French,2000DT - 3000DT,Yes,Global Volunteer
3/14/2023 10:32:41,Yes,Aiden May,23,Male,49879659,exampleemail76@gmail.com,École supérieure des sciences et technologies du design,2eme Publicité audiovisuelle ,2000DT - 3000DT,Yes,Global Volunteer
3/14/2023 10:36:05,Yes,Josie Cruz,23,Female,13982139,exampleemail77@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",Second year English ,< 2000DT,Yes,Global Teacher
3/14/2023 10:42:50,Yes,Bryce Petersen,20,Female,98384814,exampleemail78@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",English,< 2000DT,No,Global Volunteer
3/14/2023 10:44:31,Yes,Kian Jacobson,20,Female,77463916,exampleemail79@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",English ,< 2000DT,Yes,Global Teacher
3/14/2023 12:19:26,Yes,Andreas Hanson,20,Female,46371487,exampleemail80@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",2emme année arabia ,< 2000DT,No,Global Teacher
3/14/2023 12:23:18,Yes,Averi Burch,28,Female,55037235,exampleemail81@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",Agregation,2000DT - 3000DT,Yes,Global Teacher
3/14/2023 12:25:03,Yes,Amelie Diaz,22,Female,55827454,exampleemail82@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",Agregation,< 2000DT,Yes,Global Teacher
3/14/2023 12:27:45,Yes,Damion Ewing,20,Female,19588905,exampleemail83@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",2 emme licence arabe ,< 2000DT,No,Global Teacher
3/14/2023 12:28:15,Yes,Cheyenne Cabrera,22,Female,62476994,exampleemail84@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",1 arabe,3000DT - 5000DT,No,Global Teacher
3/14/2023 12:31:52,Yes,Cristofer Harvey,23,Female,12591359,exampleemail85@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",2éme année français ,< 2000DT,No,Global Volunteer
3/14/2023 12:34:13,Yes,Jazmine Pennington,21,Female,67557959,exampleemail86@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",Arabe 1ere,2000DT - 3000DT,No,Global Teacher
3/14/2023 13:13:51,Yes,Nayeli Mcfarland,20,Female,80404092,exampleemail87@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",Geopolitics and international relations ,2000DT - 3000DT,Yes,Global Volunteer
3/14/2023 13:45:36,Yes,Adriel Day,21,Female,28278209,exampleemail88@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",Géopolitique et relations internationales ,< 2000DT,No,Global Volunteer
3/14/2023 13:46:58,Yes,Dalia Grimes,21,Female,33354666,exampleemail89@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",First year Arabic ,< 2000DT,No,Global Volunteer
3/14/2023 13:49:11,Yes,Zayden Pennington,23,Female,55584509,exampleemail90@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",Third year Arabic ,< 2000DT,Yes,Global Volunteer
3/14/2023 13:53:37,Yes,Brielle Goodman,23,Female,89635551,exampleemail91@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",1ère année géopolitique et relations internationales,2000DT - 3000DT,Yes,Global Volunteer
3/14/2023 14:29:33,Yes,Diana Haley,25,Male,80772867,exampleemail92@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",Master arabe,2000DT - 3000DT,Yes,Global Volunteer
3/14/2023 14:42:22,Yes,Alejandra Greene,22,Male,13902923,exampleemail93@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",M1 Master en littérature Arabe ,2000DT - 3000DT,Yes,Global Volunteer
3/14/2023 14:45:59,Yes,Precious Wallace,23,Male,32512015,exampleemail94@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",Master 1 arabe,< 2000DT,No,Global Teacher
3/14/2023 14:53:45,Yes,Janelle Buckley,23,Male,44019661,exampleemail95@gmail.com,Institut supérieur de biotechnologie de Sidi Thabet,2nd year licence of biotechnology applied in pharmaceutical sector ,< 2000DT,Yes,Global Volunteer
3/15/2023 9:33:25,Yes,Josue Farley,25,Female,72855308,exampleemail96@gmail.com,Institut supérieur de biotechnologie de Sidi Thabet,Première année sciences du vivant ,2000DT - 3000DT,Yes,Global Teacher
3/15/2023 9:36:24,Yes,Ashtyn Blevins,24,Male,34164650,exampleemail97@gmail.com,École supérieure des sciences et technologies du design,Physique et énergie ,< 2000DT,No,Global Volunteer
3/15/2023 9:59:03,Yes,Karly Tyler,19,Female,99126808,exampleemail98@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",Geopolitics and international relations ,2000DT - 3000DT,Yes,Global Volunteer
3/15/2023 10:39:47,Yes,Kennedy Collins,22,Female,99832902,exampleemail99@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",Anglais ,< 2000DT,Yes,Global Teacher
3/15/2023 10:39:47,Yes,Ernesto Singh,22,Female,89561462,exampleemail100@gmail.com,"Faculté des Lettres, des Arts et des Humanités-Université la Manouba",Anglais ,< 2000DT,Yes,Global Teacher
